Name,Gender,Language,Categories,Personalities,Speech Sample
Paloma,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-US-PalomaNeural.mp3
Mateo,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-UY-MateoNeural.mp3
Valentina,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-UY-ValentinaNeural.mp3
Paola,Female,Spanish,General,"Friendly, Positive",mp3/Spanish/es-VE-PaolaNeural.mp3
Sebastian,Male,Spanish,General,"Friendly, Positive",mp3/Spanish/es-VE-SebastianNeural.mp3
Jajang,Male,Sundanese,General,"Friendly, Positive",mp3/Sundanese/su-ID-JajangNeural.mp3
Tuti,Female,Sundanese,General,"Friendly, Positive",mp3/Sundanese/su-ID-TutiNeural.mp3
Rafiki,Male,Swahili,General,"Friendly, Positive",mp3/Swahili/sw-KE-RafikiNeural.mp3
Zuri,Female,Swahili,General,"Friendly, Positive",mp3/Swahili/sw-KE-ZuriNeural.mp3
Daudi,Male,Swahili,General,"Friendly, Positive",mp3/Swahili/sw-TZ-DaudiNeural.mp3
Rehema,Female,Swahili,General,"Friendly, Positive",mp3/Swahili/sw-TZ-RehemaNeural.mp3
Mattias,Male,Swedish,General,"Friendly, Positive",mp3/Swedish/sv-SE-MattiasNeural.mp3
Sofie,Female,Swedish,General,"Friendly, Positive",mp3/Swedish/sv-SE-SofieNeural.mp3
Pallavi,Female,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-IN-PallaviNeural.mp3
Valluvar,Male,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-IN-ValluvarNeural.mp3
Kani,Female,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-MY-KaniNeural.mp3
Surya,Male,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-MY-SuryaNeural.mp3
Anbu,Male,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-SG-AnbuNeural.mp3
Venba,Female,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-SG-VenbaNeural.mp3
Kumar,Male,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-LK-KumarNeural.mp3
Saranya,Female,Tamil,General,"Friendly, Positive",mp3/Tamil/ta-LK-SaranyaNeural.mp3
Mohan,Male,Telugu,General,"Friendly, Positive",mp3/Telugu/te-IN-MohanNeural.mp3
Shruti,Female,Telugu,General,"Friendly, Positive",mp3/Telugu/te-IN-ShrutiNeural.mp3
Niwat,Male,Thai,General,"Friendly, Positive",mp3/Thai/th-TH-NiwatNeural.mp3
Premwadee,Female,Thai,General,"Friendly, Positive",mp3/Thai/th-TH-PremwadeeNeural.mp3
Emel,Female,Turkish,General,"Friendly, Positive",mp3/Turkish/tr-TR-EmelNeural.mp3
Ahmet,Male,Turkish,General,"Friendly, Positive",mp3/Turkish/tr-TR-AhmetNeural.mp3
Ostap,Male,Ukrainian,General,"Friendly, Positive",mp3/Ukrainian/uk-UA-OstapNeural.mp3
Polina,Female,Ukrainian,General,"Friendly, Positive",mp3/Ukrainian/uk-UA-PolinaNeural.mp3
Gul,Female,Urdu,General,"Friendly, Positive",mp3/Urdu/ur-IN-GulNeural.mp3
Salman,Male,Urdu,General,"Friendly, Positive",mp3/Urdu/ur-IN-SalmanNeural.mp3
Asad,Male,Urdu,General,"Friendly, Positive",mp3/Urdu/ur-PK-AsadNeural.mp3
Uzma,Female,Urdu,General,"Friendly, Positive",mp3/Urdu/ur-PK-UzmaNeural.mp3
Madina,Female,Uzbek,General,"Friendly, Positive",mp3/Uzbek/uz-UZ-MadinaNeural.mp3
Sardor,Male,Uzbek,General,"Friendly, Positive",mp3/Uzbek/uz-UZ-SardorNeural.mp3
HoaiMy,Female,Vietnamese,General,"Friendly, Positive",mp3/Vietnamese/vi-VN-HoaiMyNeural.mp3
NamMinh,Male,Vietnamese,General,"Friendly, Positive",mp3/Vietnamese/vi-VN-NamMinhNeural.mp3
Aled,Male,Welsh,General,"Friendly, Positive",mp3/Welsh/cy-GB-AledNeural.mp3
Nia,Female,Welsh,General,"Friendly, Positive",mp3/Welsh/cy-GB-NiaNeural.mp3
Thando,Female,Zulu,General,"Friendly, Positive",mp3/Zulu/zu-ZA-ThandoNeural.mp3
Themba,Male,Zulu,General,"Friendly, Positive",mp3/Zulu/zu-ZA-ThembaNeural.mp3
